2026-02-21 14:40:16.896 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-02-21 14:40:16.930 [main] INFO  com.quanxiaoha.ai.robot.XiaohaAiRobotSpringApplication - Starting XiaohaAiRobotSpringApplication using Java 21.0.6 with PID 19672 (D:\code\xiaoha-ai-robot\project\xiaoha-ai-robot-spring\target\classes started by czj13 in D:\code\xiaoha-ai-robot\project\xiaoha-ai-robot-spring)
2026-02-21 14:40:16.934 [main] INFO  com.quanxiaoha.ai.robot.XiaohaAiRobotSpringApplication - The following 1 profile is active: "dev"
2026-02-21 14:40:18.801 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-21 14:40:18.818 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-02-21 14:40:18.820 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-02-21 14:40:18.820 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-02-21 14:40:18.874 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-21 14:40:18.876 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1885 ms
2026-02-21 14:40:19.783 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - Using the vector table name: t_vector_store. Is empty: false
2026-02-21 14:40:19.788 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - Initializing PGVectorStore schema for table: t_vector_store in schema: public
2026-02-21 14:40:19.789 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - vectorTableValidationsEnabled false
2026-02-21 14:40:20.488 [main] INFO  com.baomidou.mybatisplus.extension.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@60094a13
2026-02-21 14:40:20.645 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-02-21 14:40:20.669 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-21 14:40:20.677 [main] INFO  com.quanxiaoha.ai.robot.XiaohaAiRobotSpringApplication - Started XiaohaAiRobotSpringApplication in 4.09 seconds (process running for 4.779)
2026-02-21 14:41:40.394 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-02-21 14:41:40.424 [main] INFO  com.quanxiaoha.ai.robot.XiaohaAiRobotSpringApplication - Starting XiaohaAiRobotSpringApplication using Java 21.0.6 with PID 20300 (D:\code\xiaoha-ai-robot\project\xiaoha-ai-robot-spring\target\classes started by czj13 in D:\code\xiaoha-ai-robot\project\xiaoha-ai-robot-spring)
2026-02-21 14:41:40.426 [main] INFO  com.quanxiaoha.ai.robot.XiaohaAiRobotSpringApplication - The following 1 profile is active: "dev"
2026-02-21 14:41:41.734 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-21 14:41:41.749 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-02-21 14:41:41.750 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-02-21 14:41:41.750 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.40]
2026-02-21 14:41:41.796 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-21 14:41:41.796 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1331 ms
2026-02-21 14:41:42.592 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - Using the vector table name: t_vector_store. Is empty: false
2026-02-21 14:41:42.598 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - Initializing PGVectorStore schema for table: t_vector_store in schema: public
2026-02-21 14:41:42.598 [main] INFO  org.springframework.ai.vectorstore.pgvector.PgVectorStore - vectorTableValidationsEnabled false
2026-02-21 14:41:42.996 [main] INFO  com.baomidou.mybatisplus.extension.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@224b4d61
2026-02-21 14:41:43.089 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-02-21 14:41:43.097 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-21 14:41:43.102 [main] INFO  com.quanxiaoha.ai.robot.XiaohaAiRobotSpringApplication - Started XiaohaAiRobotSpringApplication in 2.985 seconds (process running for 3.965)
2026-02-21 14:41:47.673 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-02-21 14:41:47.694 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
